id,text,created_at
1656760286408241169,Hannah Waddingham really is a gem. What a fab choice of presenter!  #Eurovision,2023-05-11 20:36:48+00:00
1656760285674237956,Australia should win Eurovision. Fight me. #Eurovision2023  #Eurovision   @bbceurovision,2023-05-11 20:36:47+00:00
1656760279747686425,"Christmas music at Eurovision? 
#Eurovision",2023-05-11 20:36:46+00:00
1656760274504806404,GEORGIA HAS TO QUALIFY OMG THAY WAS SO GOOD 😭😭😭 #Eurovision,2023-05-11 20:36:45+00:00
1656760273137463328,"I’ve seen nothing tonight to challenge Finland or Croatia! 

Belgium
Albania
Poland
Austria all ok

Excited for Saturday though! Drinks and spread at the ready!! #Eurovision",2023-05-11 20:36:44+00:00
1656760271958863873,That was beautiful. #Ukraine artists showed the world what a civilised country they are. FUCK you #Putin. What do you have to show other than those animals you call soldiers? #Eurovision,2023-05-11 20:36:44+00:00
1656760271723982855,"Fwiw Denmark, Belgium, Iceland, Poland, Austia, Australia. Not sure I'd actually spend 15p on any of them though. Maybe Poland on Saturday... #Eurovision",2023-05-11 20:36:44+00:00
1656760270247587865,"""You're voting for Slovenia"" x20 is not enough I need to hear it for a week straight pls when my bf gets home his phone is mine #Eurovision",2023-05-11 20:36:44+00:00
1656760267814977536,YALL BETTER BETTER GET ALBANIA INTO THE FINAL! 🇦🇱👐🏻 #Eurovision,2023-05-11 20:36:43+00:00
1656760262270021644,"These vocals leave a lot to be desired. Sorry Victor, but I'd stick to boxing for the time being. Yikes! 🇬🇷

#Eurovision #ESC #UnitedByMusic",2023-05-11 20:36:42+00:00
1656760261544497152,"15p to vote via app?! Bloody cheek! 

#Eurovision",2023-05-11 20:36:42+00:00
1656760261523435558,"Cmon Cyprus &amp; Poland
🇨🇾 🇵🇱 #eurovision",2023-05-11 20:36:42+00:00
1656760254393118739,"#EUROVISION  #Eurovision2023  #EurovisionRtve #SecondSemiFinal 

MY QUALIFIERS:
🇦🇲 
🇧🇪 
🇦🇱 
🇸🇮 
🇮🇸 
🇨🇾 
🇬🇪 
🇱🇹 
🇦🇺 
🇦🇹 

MY NON QUALIFIERS:
🇪🇪 
🇵🇱 
🇷🇴 
🇩🇰 
🇸🇲 
🇬🇷",2023-05-11 20:36:40+00:00
1656760250882486275,You want us to pay to vote for songs?? Not in this economy love. #eurovision,2023-05-11 20:36:39+00:00
1656760250655993882,"Voted for Slovenia,  Iceland, Belgium and Austria #eurovision",2023-05-11 20:36:39+00:00
1656760246432329750,@Eurovision Most interesting thing tonight….. at #Eurovision,2023-05-11 20:36:38+00:00
1656760245773824003,"Are we missing out on Graham Norton's hilarious commentary this year if he's hosting the grand final? 

#Eurovision",2023-05-11 20:36:38+00:00
1656760243924135954,"My top five of the #Eurovision  Semi Final 2:
🇩🇰 
🇧🇪 
🇦🇹 
🇦🇺 
🇵🇱",2023-05-11 20:36:37+00:00
1656760241193644035,Cyprus. Iceland. Belgium. Although I’m unsure about Belgium and Poland will be visiting the finals. #Eurovision #ESC,2023-05-11 20:36:37+00:00
1656760238383460366,"My qualifiers for the SF2: 🇦🇲🇪🇪🇧🇪🇮🇸🇸🇮🇬🇪🇦🇹🇦🇱🇱🇹🇦🇺
#Eurovision",2023-05-11 20:36:36+00:00
1656760237200666642,"Easier to state my NQs

Romania
San Marino
Estonia
Iceland
Albania
Greece

#Eurovision2023    #Eurovision",2023-05-11 20:36:36+00:00
1656760233799086088,"If I could vote I’d vote Belgium, Slovenia, Austria, Greece and Poland #eurovision #eurovision",2023-05-11 20:36:35+00:00
1656760232834396182,Aw my mom was incredibly moved by Schtschedryk 🥹 #Eurovision,2023-05-11 20:36:35+00:00
1656760229114310657,"@joelcreasey &amp; @MyfWarhurst , since you’re in Liverpool, can you vote VOYAGER 🚀, please? 🔥🔥🔥 #Eurovision #SBSEurovision",2023-05-11 20:36:34+00:00
1656760227604119552,"Haha, the SHADE of not mentioning that certain person's film-of-a-book which Carol of the Bells is possibly most famously used in. 😂 #Eurovision said 'Fuck transphobia'!",2023-05-11 20:36:34+00:00
1656760225926377492,"Me to the group chat with friends uninterested in Eurovision: Text 13 to 1212 

Them: is it free? 

Me: no, 1 DKK

Them: then no 

#Eurovision @wthisteya @wthissalena",2023-05-11 20:36:33+00:00
1656760223254605846,Also can we just take a moment to appreciate how great the tech and stage crew for Eurovision are? Slick AF 🙌🏻 #Eurovision #Eurovision2023,2023-05-11 20:36:32+00:00
1656760217558740996,Belgium gets my vote! #Eurovision #Eurovision2023,2023-05-11 20:36:31+00:00
1656760215528697861,@Eurovision Winner 🏆 of 2nd semi final #Eurovision2023 #Eurovision #Austria,2023-05-11 20:36:31+00:00
1656760215033770015,Belgium is 🔥 on #Eurovision,2023-05-11 20:36:31+00:00
1656760211938373634,"Aaaaaaand my twelve points go to...

SLOVENIA. 💞🇸🇰🥰 #Eurovision

Gute Nacht. 💤🛏️💜",2023-05-11 20:36:30+00:00
1656760211418361856,Y'ALL BETTER VOTE FOR 🇸🇮 &amp; 🇦🇹 #Eurovision,2023-05-11 20:36:30+00:00
1656760210290008064,if you have a vote left please vote for estonia 🙏🏼 #Eurovision,2023-05-11 20:36:29+00:00
1656760205445591045,"dare I say the UK is kinda slaying as host? the promotion, postcards, stage, and not to be a huge lesbian but hannah waddigham??? Who knew lol #Eurovision #Eurovision2023",2023-05-11 20:36:28+00:00
1656760201205149721,Too many people stole my Theresa May joke 🥲 #Eurovision,2023-05-11 20:36:27+00:00
1656760193416327170,"#Eurovision #Eurovision2023
Next song score:
Song 20
#Belgium: Gustaph - Because of You &gt;2.1
   A - 1.5
   B - 2
   C - 2.5
   D - 1.5
   E - 3
   (Artist has potential, but song lacks substance and artist could have been graced with something more powerful)",2023-05-11 20:36:25+00:00
1656760189037473816,Cyprus got to be an early contender for #Eurovision. Get your house on it,2023-05-11 20:36:24+00:00
1656760187322003462,Sometimes host interactions feel stilted. Hannah and Julia feels like there’s actually a deep mutual respect and I love it so much. #Eurovision,2023-05-11 20:36:24+00:00
1656760185052884999,#Eurovision please god stop the commentators talking over the presenters…,2023-05-11 20:36:23+00:00
1656760184717340686,"Very clever of BBC to have a separate stage for the hosts in between acts.

#Eurovision #Eurovision2023",2023-05-11 20:36:23+00:00
1656760183958241280,@Eurovision I’ve been watching #Eurovision for over 40 years and this is undoubtedly THE WINNER 🇦🇺🐨🥰 #Eurovision2023,2023-05-11 20:36:23+00:00
1656760182917984270,"French, English and now Ukrainian. Hannah can do it all! #Eurovision",2023-05-11 20:36:23+00:00
