id,text,created_at
1658130096413200388,"@JayneOzanne A slight problem with your theory:

Scandinavia currently has pauses/bans on all 'gender affirming' intervention in youths. Yet Sweden won, and Finland came #2, so EV voters clearly don't care.

And the UK has been losing badly at #Eurovision   since long before gender activism.",2023-05-15 15:19:56+00:00
1658129813893263375,"Soo… how are we all doing now?🫶

#Eurovision #Eurovision2023 #PostEurovisionDepression",2023-05-15 15:18:48+00:00
1658129440608509953,"@MeghansMole Can I say, this is making zero news on social media or mainstream news... while #PrincessofWales looking gorgeous and glam and playing the piano at #Eurovision went viral and broke the internet. #WalmartWallis and todger harry are not in the same league, they are basic AF.",2023-05-15 15:17:19+00:00
1658129039507308547,"The last time Germany didn’t get second to last or last place in #Eurovision , I was still in high school. I’m going to start my masters program in a few months…",2023-05-15 15:15:44+00:00
1658128812725370880,"Y'all, I'm kinda curious. Let's say that Kalush Orchestra and Stefania repped Ukraine this year instead of last year and that Finland's entry was still Cha Cha Cha. Which one would have won the televote in the final? #Eurovision",2023-05-15 15:14:50+00:00
1658128459116470272,"So, what does it mean? Will Luxembourg be making a comeback to #Eurovision    as part of the ""Big 5"" or just as a regular competitor?",2023-05-15 15:13:25+00:00
1658127179861950465,"2nd year running all the Rock entries didn't score very well (except Voyager on juries) it's almost as if viewers are fatigued out and the Måneskin effect has faded.

Hopefully there's only one Rock band next year who manage to stand out a bit. #Eurovision",2023-05-15 15:08:20+00:00
1658126231903109120,"I can't help but feel that Loreen wouldn't be getting so much hate online for winning if she wasn't a queer woman. 

Online stans can cry all they want. This was an inspiring and historic win for queer art and the queer community. We love a powerful bi queen 💕
#Eurovision",2023-05-15 15:04:34+00:00
1658126158527971330,"Still tired from #Eurovision 

Ian.",2023-05-15 15:04:17+00:00
1658125348519702530,I also checkee the follower list pretty early and there were multiple accounts of other eurovision artists and some connected accounts. They may wanna remove their follows also #eurovision,2023-05-15 15:01:04+00:00
1658125107250753537,"Vintage vinyl from Rock to Jazz and  inbetween

Love music click on the link to browse through our collection of fab vinyl

#vinyl #groovevinyl #vinyladdict #music #livemusic #vintage  #Eurovision   #mondaymotivation #chachacha",2023-05-15 15:00:06+00:00
1658123861517279233,"After a few days of deep reflection, my controversial opinions are that Tattoo is actually better than Euphoria and Loreen is the only Queen I recognise, and France was absolutely robbed - I can’t get  Évidemment out of my head (and I love her for giving the finger) #Eurovision",2023-05-15 14:55:09+00:00
1658123794584567811,Kaarija's fans should maybe try to write a song about how they did them wrong instead of crying everywhere for two days straight #Eurovision,2023-05-15 14:54:53+00:00
1658123566888415233,"Listening to Loreen and really would like to see her hosting next year.   Out of the intensity of performance mode she is fun, warm and a little bit kooky, all the required qualities.  #Eurovision @bbcradio2",2023-05-15 14:53:59+00:00
1658123122225053696,"I wonder if every country entered their second place song (or for internals,their second choice) who would’ve won.  #Eurovision",2023-05-15 14:52:13+00:00
1658122974895980544,"@chartdata Loreen's ""Tattoo"" reaches a new peak of #5 on the global Spotify chart = Käärijä

with 4.275 million streams, up 100% = eats

Highest charting #Eurovision single ever = burgers",2023-05-15 14:51:38+00:00
1658122432752877573,"realising that I could be in Stockholm 3 times in the space of 7 months 😶

October - Madonna
March - Melfest final
May - #Eurovision (potentially)",2023-05-15 14:49:29+00:00
1658122375475412992,"@sturdyAlex Great to hear you mention Mylène Farmer on today's podcast (when discussing #Eurovision). She is hugely successful in France, yet most ppl in the UK have never heard of her. I'll be seeing her live at the Stade de France next month !",2023-05-15 14:49:15+00:00
1658121755267944448,Still not over #Eurovision and its been 48 hours already 🤭💀💚,2023-05-15 14:46:47+00:00
1658121698770558978,"Yes I have spent today rewatching the contest, what of it xo

#Eurovision",2023-05-15 14:46:34+00:00
1658121535809376258,"#Eurovision was awesome there was some really awesome songs this year, it's hard for me to say who exactly I was voting for but I was very much hoping for Remo, But I love the song that one as well, but I have to say that my all-time favorite performance though is still...",2023-05-15 14:45:55+00:00
1658120313400328192,"""Dors, mon amour"" by André Claveau representing France placed 1st with 27 points in 1958. #Eurovision",2023-05-15 14:41:03+00:00
1658119966674001921,"I GENUINTELY GOTTA KNOW THIS
Do you rather hear a native language or do you prefer the songs in English?! #Eurovision2023 #Eurovision",2023-05-15 14:39:41+00:00
